y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
9999,33.5,13.0,0.0,0.0,14.7,0,0,38.4,14.5,2.8,10.9,0,1.3,3.8,11.9,16.9,3.5,1.6,16.7,0,0,0,3,0.7,0,0,0,17.2,0,50.3,0,1.6,0,4,0,0,1.5,0,2.1,0,1.5,0,0,0,0,0,0,0,0.3,2
9999,2.5,10.7,0.0,3.8,0.0,0,2.5,0.3,6.4,41.9,1,5.6,7.6,0,23.1,10.8,0,0,27,0,0,0,0.8,12.8,0,0,0,0,0.8,0,3.6,0,0,0,0,0.6,0,14.2,3.3,0,10.5,39.5,0,0,10,0,0,0,8.1,0
9999,3.6,6.1,2.5,1.0,0.0,0,0.5,0,4.1,4.8,0.5,0,0,0,39.4,2,0,0,29,8,0,0,3.8,1.2,0,0,0,21.1,1,0,13.6,0,2.2,35.7,0,0,0,37.54,21.4,0.4,0,12.6,0,16.5,49,9.4,0,3.3,1.9,14.2
9999,0.0,0.0,0.8,0.0,0.0,0.8,39.9,0,16,2.3,0,0,3.3,3.6,0,0,23.8,0,4.5,1.3,10,44.3,3.7,27.2,0,0,0,27.2,0,0,1.6,0,0,4,0,33.5,12.8,1.5,13,0,7.5,14,0,21.5,53,0,0,0,11.2,1.6
9999,11.9,1.3,0.0,1.8,0.0,0,12.7,0,10.9,4.1,1.3,0.3,1.3,29.7,10.2,0,0,0,5.1,0,0,0.4,0.6,0,0,14.1,0,2.6,0,0,7.2,2.4,0,62,67.7,24.2,0,13,0,0,0.9,30.6,0,0,3.5,0,0,0,4.3,5.3
9999,4.1,3.6,0.0,0.0,0.0,44.7,0,0,0.3,0.3,8.9,0,16.8,18.8,9.7,0,0,0,2.1,0,38.4,0,0,12,4,3.5,0,4.3,0,0,65.7,1.9,0,3.5,6.2,0,0,2.1,0,5,51.5,0,0,0,82,0,0,0,0,43
9999,0.0,0.0,1.3,0.0,0.0,0,0,0,1.3,1.3,5.8,10.2,52.1,37.1,6.1,0,0,0,5.3,1,1.1,44.3,0,1.4,7.1,30.2,0,5,0,0,16.2,0,0,1.8,0,11.9,0,0,0,0,48.5,28.1,0,0,8,11,0,0,4,0.1
9999,11.7,31.8,2.8,14.7,1.5,0,3,0,22.1,5.1,55.4,2.3,0,1.5,5.6,0,0,0,0.3,0.1,0,6.5,0,2.1,0,3.9,0,2.4,15.3,0,5.2,0,0,11.1,63.5,20,0,0,0,46,1.2,1,7.7,0,8.5,0,0,31.2,1.1,0
9999,27.9,30.2,3.6,0.0,0.0,0,18,0,15,0,3.6,30.7,6.6,10.4,23.6,0,0.5,0,3.4,0.4,3.2,1.2,0,12.4,0,36,0,0,0,0,3.7,0,0,0.7,0,1,14,0,2.5,3.5,0,5.1,6,24.5,27.8,0,0,16.7,0,0
9988,9988,9988,23.6,9988.0,9988.0,9988,0,9988,9988,9988,12.4,9988,9988,9988,0,9988,9988,9988,0,9988,9988,9988,0,9988,9988,9988,0,9988,9988,9988,0.9,9988,9988,9988,0,9988,9988,9988,7.5,9988,9988,9988,35.5,9988,9988,9988,0,9988,9988,9988
