1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1.8,0,0,3.6,0,0.5,6.4,0,0,0,0,2.8,0,0,0,0,0,0,37.8,11.4,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,5.8,0,0,11.4,6.1,11.4,0,3.7,0,0,97.9,9.4,0.0,8.3,0.0,0.0,3.5,0.0,38.4,51.4,0.5,0.0,0.0,90.2,0,2.3,1.1,13.2,0,0,0,12.7,0,0,0,4.7,0,0
1.3,14.2,0.8,32.3,0,3,65,0,0,1.8,8.9,0,9.7,0,0,0,0,0,14,1.3,1.3,1,0,4.3,0,0,8.6,0,4.3,0,0,0,0,0,48.3,0,0,0,28.7,0,0,16.5,0,45.2,0,0,0,0,9.7,8.8,0.0,0.7,0.0,12.3,4.2,13.9,6.3,55.6,0.2,0.0,0.0,41.3,0,0,1.1,0.5,0,0,7.4,0,0,0.8,11.9,0,28.4,0
15,0.3,0,0,0,7.1,0,0,0.8,0,1.8,0,11.2,0,1.3,2,0,0,1,0,0,0,0,57.2,0,0,18.8,0,0,0,0,0,0,0,14.7,0,0,0,0,11.4,0,0,0,3.3,3.6,0,51.4,0,5.3,0,0,8.6,0.0,0.0,0.5,51.2,0.0,11,0.6,32.8,0.0,61.4,0,0,1.6,0.5,0,0,2.4,0,14.9,0,0,9.2,1.2,0
0,0,21.1,8.1,17,0.5,0,0,10.4,0,0,6.9,0,21.8,0,4.6,0,0,0,52.3,1.5,20.3,0,4.6,0.3,0,0,0,0.3,0,0,0,0,0,3.6,0,0,0,0,4.3,0,0,0,2.8,0.3,17.8,56.7,0,0.4,0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0,2.6,2.8,0.0,43.8,0,0,0.8,0.1,0,0,8.9,0,0,44.3,0,9.3,0,0
121.9,0,8.6,0,1.5,0,35.8,0,67.8,0,0,20.6,2.3,0,2.3,0,6.4,0,1.8,11.7,0,3,0,0,2.3,0,0,0,0,0,0,0,0,7.1,25.4,0,0,33,0,0.5,0,31.7,42.9,1.5,0,0,32.3,1.4,0,0,0.0,0.5,0.0,0.8,1.6,0.0,9.7,1,3,0.0,0.0,59.3,0,0,0.3,0.9,0,4.9,0,0.7,0,0,0,1,19.3,0
2.5,0,0,0,11.4,1.3,4.1,0,11.9,24.4,0,0,18,0,17,0.3,0.3,0,25.4,2.8,44.5,0,0,0,0,1.5,0.5,0,0,0,9.4,0,0,0,16.5,0,28.2,0,0,0,101.6,0,7.1,23.9,0.1,43.4,0.4,1.7,16,0,1.1,1.0,0.0,0.0,0.0,22.3,0.0,58.2,2.4,0.0,1.5,30.8,0,0,3.4,4.4,0,8.8,0,0,0,0,0,39,0,0
2.5,0,14.5,87.1,2.5,19.3,0.8,0,3.6,2,0,3.6,112,0,0,1,0.8,0,7.4,0.8,20.6,0,0,13,0,0,10.2,0,0,0,0,0.5,0,0,18.3,0,1.8,0,1.8,1.3,0,3.6,0,15,4.5,11.7,0,3.7,6.5,0,8.7,22.7,0.0,0.0,0.0,9.1,0.0,0,1.5,0.0,40.1,42.5,0,0,7.3,6.4,0,1.9,0,0,0,0,14.8,0.8,37.1,0
2.3,0,0,42.7,2.8,1.5,20.3,1,2.3,0,0,4.8,8.6,0,0,2,13,0,0,0,1.8,15.2,0,0,0,0,16,0,3,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,48.8,12.9,113.5,0,0,0,0,22.6,0,0,15.9,0.0,0.0,2.1,0.0,0.0,4.5,0.9,0.0,2.8,35.8,0,0,9.4,2.1,0,0,0,0,2.3,8.2,0,49.5,0,0
7.6,0,4.8,0,0.5,0,55.9,0,0.3,0,39.6,0,17.3,0,0,0,29.5,0,0,0,0,30.2,0,0.5,0,0,0.3,0,6.4,24.1,0,3.3,0,0,1.8,5.3,1,7.9,3.3,0,0,2.3,12.7,8.1,0,1.7,0,0,0.3,0,0.0,5.1,0.0,0.0,0.0,0.0,41.2,11,1.2,0.0,7.9,27.4,0,0,6.8,1.7,6.7,0,0,0,0,0,0,24.5,19.1,4.1
1,0,1,0,0,4.1,0.3,1.3,0,0,19.1,0,0,15.7,0,0,10.4,1.5,16.8,0,0,0,0,17.8,0,4.6,0,0.3,2,0.3,0,0,17,0,0,4.1,0.5,7.1,61.7,0,0,0.8,1.5,1,0,0,0.7,1.2,0,3.3,0.0,4.2,0.0,20.6,0.0,0.0,0.0,0,0.4,0.0,12.3,22.6,0,0,8.9,3.5,0,0,0,0,21.6,1.3,68.2,35,12.8,8.2
15.2,0,0,0,0,1,9.4,0.3,0,0,0,1.3,0,12.7,0,4.6,6.6,0,0,28.4,0,0,0,0,0,0,0.5,3,7.1,0,5.6,0,30.2,0,0,16.3,17.8,0,0,0,18.8,6.3,13.7,0,0,0,0,0,0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1,4,0.0,8.5,34.8,19.8,0,8.8,7.6,0,0.4,0,0,0,0,0,17,0,4.6
0,0,1,20.3,0,91.7,7.9,3,0,0,3.6,0,1.8,7.9,0,0,0,20.6,1.8,0,0,0,6.9,4.6,0,0.5,1.8,0,19.6,0,8.4,3.3,6.1,0,8.1,5.8,0,0.8,1,0,0,0.5,3.3,0,0,0,1.4,0.2,31.5,33.4,0.0,2.7,0.0,0.0,0.0,2.5,0.0,1.2,8.6,0.0,5.6,40,25.6,0,12.4,1.4,0,0,0,1.6,0,8.9,0,0,0,0
3.3,0.5,0.3,1.5,0,0.8,1.8,0,1,0,17.3,0,0.3,13.5,0,0,76.2,0.8,38.1,14.2,0,0,0.5,7.1,0,22.9,0,24.1,7.1,0,4.1,0,0,0,0,10.7,0,0,0,0,0,1.3,25.7,2.5,0,2.9,0.3,0,6.4,9.2,0.0,6.0,0.0,12.8,0.0,0.0,0.0,0,11.2,35.8,4.0,25.9,0,0,10.7,0.4,0,21.2,2.7,0,6.7,0,6.7,0,9.1,0
5.3,13,1.3,0,0,2.3,0,0,0,0,0.5,0,5.1,20.1,0,0,1.5,0,20.8,61.2,0,0,0,0,17,5.8,19.3,11.9,0,0,0.8,0,14.7,4.8,2.3,22.9,25.7,0,0,0,0,9.4,0.8,1.5,101,6,0,0,0,42.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,22.7,14.7,33.9,0.0,0,0,0,10,0.2,0,3.6,4.6,0,0,0,0,0,0,35.6
0,1,0.5,0,4.1,1,0,0,0,0,13.7,0,1.8,2.8,0,0,4.6,0,39.9,4.6,7.1,0,0,0,0,7.9,18.5,9.1,0,0,6.9,0,0,0,2,2,0,0,0,0,0,1.5,0,0,8.5,7.5,0,2.7,8.1,26.7,0.0,0.0,0.0,21.7,0.0,0.0,0.0,14.8,12.8,8.6,14.5,1.3,0,0,6.7,0.9,0,0,0,0,15.3,0,0,15.6,0,0
0,0,3.3,0,29,0,6.6,0,0,0,33,0,0,0,0.3,1.8,0,0.3,9.1,1,0,0,0,0,0,0,0,0,1.8,7.9,0,0,0.3,0,49.5,83.8,0,0,0.8,0,6.6,39.9,0,0,1.9,0,0,0,9.3,7.3,0.0,0.0,0.0,0.0,1.4,22.1,0.0,0,7.3,0.0,5.4,2.4,0,30.3,3.3,3.2,0,24.6,0,0,4.2,0,0,0,17.2,67.4
0,0,1,0,4.1,0,32.3,0,3.6,0,3.6,0,3.6,0,0.3,15.2,0,0,7.9,0.5,1.3,11.9,3.6,0,0,0,0,0,0,0,1,0.3,35.8,0,0,4.1,0,0,0,0,0,1,9.7,0,0,0.5,0.3,0.1,0,15.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,6.1,0.0,2.2,2.4,0,0,4.5,9.3,0,0.6,0,8.6,3.4,0,0,0,24.4,16.2
1.3,0,0,1,0,24.9,10.4,0,0.3,6.4,0.8,0,1,0,33.3,21.6,2,0,2,0,0,5.6,0,0,0,0,3.6,5.3,0,36.8,0,0.3,1,0,0,0,0,0,0.3,19.6,0,0,0,0,26.7,0,9.5,4.6,27,1.3,0.0,0.0,0.0,22.3,0.0,2.2,0.1,4.3,5.9,0.0,4.6,8.9,0,0,7.4,5.3,0,39.2,0,0,0,0,0,0,0,10.3
0.8,0,0,0.5,9.7,34.3,0.3,0,7.1,0,0,1.3,0,0,0.3,5.6,0.8,0,0,0,0,0.5,0,0.5,5.6,0,1,0,0,0,0,0,0,7.1,39.6,0,0,0,5.1,68.6,0,0,0,0,0,0,27.4,0,0,2.2,0.0,21.9,0.0,0.0,0.0,0.0,23.4,0,13.9,22.9,5.9,65.3,0,0,13,0.4,0,4.5,0,0,12.3,0,0,0,0,11.8
0,0,0.8,0,20.8,7.9,1,0,1.8,0,0.3,1,0,0,1,0,11.2,0,0,0,0,0,2.5,15.2,0.5,0,0,1.8,0,0,1.3,0,0,0,0,7.1,0,1.8,0.8,5.3,19.6,0,0,0,2.7,0,0.4,0.9,1.8,8,0.0,3.1,0.0,2.6,0.0,0.0,101.5,0,2.6,99.8,4.6,20.8,0,0,6.3,5.5,0,0,0,0,10.9,0,0,0,0,0
